Customer_ID,Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Tenure_Months,Credit_Limit,Credit_Score,Avg_Utilization_Ratio,Revolving_Balance,Avg_Open_To_Buy,Total_Spend_12m,Avg_Transaction_Amount,Total_Trans_Count_12m,Months_Inactive_12m,Contacts_Count_12m,Num_Products,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Payment_Ratio,Late_Payments_12m,Digital_Engagement_Score,Reward_Points_Balance,Travel_Spend_Pct,Dining_Spend_Pct,Intl_Spend_Pct,Cashback_Redeemed_12m,NPS_Score,Mobile_App_Logins_12m,Paperless_Billing,Autopay_Enrolled,Join_Date,Churn
AMEX0100017,26,F,Some College,Married,$60K-$80K,Gold,123,41291.73,849,0.2563,1497.07,39794.66,10099.09,57.06,177,1,1,2,1.5269,0.6318,0.2625,0,63.26,363978,0.4692,0.0725,0.0199,741.12,7,319,1,1,2020-02-21,0
AMEX0100018,50,M,Post-Graduate,Married,$60K-$80K,Blue,296,9079.0,388,0.3165,1722.04,7356.96,3585.01,37.34,96,1,0,4,1.0758,1.3153,0.8344,1,59.61,59379,0.3707,0.2293,0.2993,752.4,8,288,0,1,2017-10-01,0
AMEX0100019,79,M,High School,Divorced,Less than $40K,Platinum,123,84797.15,560,0.1232,6046.25,78750.9,10893.35,66.83,163,0,1,1,1.8627,1.3751,0.5826,1,64.5,478667,0.0511,0.3675,0.237,23.02,8,91,1,0,2005-05-29,1
AMEX0100020,34,M,High School,Single,Less than $40K,Centurion,219,175623.62,300,0.1208,3050.96,172572.66,14969.11,110.07,136,3,2,1,1.1218,1.7953,0.9429,1,13.02,464051,0.2095,0.3659,0.1087,580.59,8,155,0,1,2009-06-13,0
AMEX0100021,61,M,Post-Graduate,Married,Less than $40K,Gold,182,24122.63,514,0.3724,5389.79,18732.84,12006.72,414.02,29,1,0,3,1.2915,1.3017,0.6174,0,76.52,383137,0.2044,0.0102,0.0468,715.97,8,320,1,0,2006-02-04,0
AMEX0100022,28,F,Graduate,Divorced,$60K-$80K,Green,59,17079.72,387,0.3785,4101.63,12978.09,5127.44,36.36,141,4,0,1,0.8118,0.5398,0.9446,2,88.03,378387,0.3121,0.1638,0.1656,436.13,5,341,1,0,2009-03-12,0
AMEX0100023,79,F,Graduate,Single,$40K-$60K,Platinum,220,72510.87,658,0.1321,7858.91,64651.96,7397.69,76.26,97,0,4,1,1.3648,0.9111,0.746,0,42.5,336326,0.2866,0.3352,0.1213,770.91,6,129,0,1,2015-07-24,1
AMEX0100024,56,F,Post-Graduate,Married,$120K+,Blue,287,7078.04,609,0.4431,852.92,6225.12,3261.24,93.18,35,0,3,4,1.9329,0.732,0.9704,0,74.76,28145,0.3997,0.2779,0.0816,590.23,6,43,1,1,2006-05-29,0
AMEX0100025,77,F,Post-Graduate,Married,$80K-$120K,Green,17,15384.15,499,0.598,1210.14,14174.01,10011.72,1112.41,9,6,2,2,0.9693,0.6808,0.5453,2,63.99,475266,0.3481,0.1359,0.2174,65.36,5,3,1,0,2013-04-30,0
AMEX0100026,36,F,High School,Divorced,Less than $40K,Blue,113,6467.03,715,0.3144,851.17,5615.86,1866.03,11.89,157,1,2,2,0.6657,1.0319,0.8135,0,56.77,490635,0.4782,0.3192,0.0777,588.55,10,318,1,1,2018-05-17,0
AMEX0100027,45,F,Some College,Divorced,$60K-$80K,Centurion,204,126903.28,629,0.2913,28130.52,98772.76,20621.73,5155.43,4,5,4,4,1.9924,0.7608,0.8911,2,64.68,34701,0.4301,0.183,0.1174,272.96,7,194,1,1,2015-01-01,0
AMEX0100028,60,M,High School,Married,$40K-$60K,Gold,30,39628.25,753,0.3978,8434.17,31194.08,21732.89,679.15,32,3,2,4,1.8009,1.5625,0.6578,2,56.32,495518,0.0006,0.2225,0.227,258.69,4,12,1,1,2007-07-13,0
AMEX0100029,51,M,Post-Graduate,Single,$40K-$60K,Blue,193,5741.81,711,0.3368,1257.59,4484.22,1548.94,23.12,67,2,0,3,1.0188,1.4314,0.6178,0,93.25,437785,0.0795,0.1874,0.2833,102.19,9,270,1,1,2018-08-07,0
AMEX0100030,22,M,Post-Graduate,Single,$120K+,Gold,180,28712.56,320,0.0631,1262.2,27450.36,962.29,5.94,162,2,1,4,1.2098,1.9523,0.7918,2,48.87,307003,0.4838,0.0742,0.1386,1.23,7,235,0,1,2025-11-26,0
AMEX0100031,42,M,Graduate,Unknown,Less than $40K,Gold,122,38017.12,637,0.666,19954.17,18062.95,35645.13,352.92,101,2,2,1,0.6542,1.3564,0.7918,2,72.49,56985,0.1985,0.0531,0.1703,689.46,9,105,0,0,2026-03-25,0
AMEX0100032,23,F,Uneducated,Single,$60K-$80K,Blue,128,9032.27,617,0.2307,1130.23,7902.04,2744.91,20.64,133,1,2,2,1.5974,0.6224,0.7212,0,74.19,265064,0.2466,0.0326,0.121,220.56,6,206,0,1,2021-02-28,0
AMEX0100033,51,M,Some College,Married,$120K+,Green,29,18005.47,719,0.2857,3777.69,14227.78,3996.13,105.16,38,1,4,2,1.4344,1.4473,0.6066,0,71.03,96059,0.2025,0.2372,0.1738,662.62,2,144,1,1,2004-04-22,1
AMEX0100034,57,M,Post-Graduate,Single,$120K+,Green,266,8540.76,569,0.389,1526.78,7013.98,3711.55,530.22,7,2,0,1,0.555,1.6046,0.3987,1,49.94,343681,0.0615,0.0925,0.0155,640.0,4,244,0,0,2004-06-23,0
AMEX0100035,32,F,Uneducated,Single,$120K+,Centurion,281,180187.74,522,0.4949,17887.88,162299.86,72047.08,576.38,125,2,0,3,1.9549,0.6409,0.3825,1,31.01,228071,0.3843,0.0452,0.2387,918.68,7,286,1,0,2019-09-01,0
AMEX0100036,46,F,Graduate,Married,$80K-$120K,Blue,225,8143.21,458,0.3139,1620.79,6522.42,3582.13,18.18,197,4,1,4,1.0635,0.9453,0.3884,1,96.79,358690,0.1136,0.0293,0.181,668.21,8,264,1,1,2016-08-11,0
AMEX0100037,26,M,High School,Single,$60K-$80K,Platinum,122,60752.16,342,0.3101,2158.71,58593.45,17536.74,116.91,150,4,0,5,1.482,1.0701,0.9123,1,78.76,121999,0.0448,0.2871,0.12,976.73,9,349,0,1,2016-05-10,1
AMEX0100038,33,F,High School,Married,$40K-$60K,Gold,164,30632.96,684,0.6496,12146.22,18486.74,27544.56,1377.23,20,0,0,3,1.1165,1.7598,0.5908,0,36.49,343715,0.0749,0.1696,0.0459,235.24,9,160,0,0,2018-11-29,1
AMEX0100039,35,M,Some College,Married,Less than $40K,Gold,165,22795.26,562,0.0829,1235.78,21559.48,1187.49,51.63,23,0,2,3,0.9112,0.6191,0.8401,0,48.48,407700,0.1356,0.2371,0.204,230.83,6,341,1,1,2024-12-15,0
AMEX0100040,37,F,Graduate,Single,$60K-$80K,Gold,296,19073.86,586,0.1373,1983.63,17090.23,2219.66,201.79,11,2,3,4,0.852,1.099,0.6254,1,69.74,196133,0.0797,0.0252,0.0353,227.36,6,360,0,1,2003-09-04,0
AMEX0100041,31,F,Uneducated,Divorced,Less than $40K,Blue,185,6809.41,615,0.1749,897.94,5911.47,1398.56,41.13,34,1,2,1,0.818,1.7281,0.7817,4,17.32,162624,0.3031,0.3059,0.0525,502.57,6,24,1,0,2025-08-17,0
AMEX0100042,24,F,High School,Married,Less than $40K,Blue,30,9523.37,831,0.1424,807.81,8715.56,1172.78,19.88,59,1,2,1,0.8176,1.2269,0.5995,0,60.49,46851,0.4983,0.3256,0.1846,306.25,8,123,1,1,2021-03-01,0
AMEX0100043,55,F,Graduate,Single,$40K-$60K,Green,12,8728.7,704,0.1595,152.72,8575.98,1812.04,10.07,180,5,1,1,1.3219,1.1816,0.6108,0,75.05,379504,0.4777,0.3148,0.0946,688.13,6,28,0,1,2010-12-07,1
AMEX0100044,60,M,Graduate,Married,$60K-$80K,Platinum,282,91704.32,472,0.4106,5020.69,86683.63,45799.19,532.55,86,0,0,1,1.9348,1.6063,0.768,1,63.14,388447,0.0344,0.1697,0.0248,514.66,9,135,1,1,2019-05-30,0
AMEX0100045,70,F,Some College,Single,$120K+,Blue,54,9218.61,448,0.3665,2825.33,6393.28,4431.97,30.99,143,2,0,2,1.8921,0.8369,0.9327,4,60.5,252791,0.4962,0.2686,0.0951,879.27,5,17,1,0,2016-03-22,0
AMEX0100046,66,F,Post-Graduate,Single,$60K-$80K,Platinum,243,95304.1,765,0.388,18145.67,77158.43,49576.5,330.51,150,2,1,3,1.2625,0.9463,0.7894,2,82.11,91396,0.4407,0.1112,0.0582,879.82,8,9,1,1,2024-11-26,0
AMEX0100047,22,M,Graduate,Single,$80K-$120K,Platinum,117,80930.03,313,0.3106,19445.28,61484.75,34604.69,501.52,69,6,1,2,1.5831,1.8293,0.3014,0,18.3,289910,0.4371,0.204,0.217,104.14,4,253,1,1,2011-09-03,0
AMEX0100048,39,F,Some College,Married,$80K-$120K,Blue,216,6379.52,731,0.1566,396.75,5982.77,1097.16,9.8,112,2,6,4,1.4638,1.1319,0.7554,2,96.11,226876,0.4898,0.0661,0.2101,585.81,7,197,1,0,2018-12-20,0
AMEX0100049,62,F,Post-Graduate,Divorced,Less than $40K,Green,40,11872.8,560,0.27,2652.72,9220.08,3941.38,171.36,23,3,0,3,0.703,1.6271,0.7496,0,64.52,425807,0.1856,0.1716,0.2534,268.14,3,227,0,0,2015-12-04,0
AMEX0100050,77,M,Graduate,Married,$80K-$120K,Green,26,14956.85,447,0.484,3587.6,11369.25,5476.61,273.83,20,2,0,3,1.1959,1.958,0.35,0,76.94,97852,0.1137,0.1616,0.1628,791.7,7,97,0,1,2014-09-09,0
AMEX0100051,41,M,Post-Graduate,Married,$60K-$80K,Centurion,10,147646.02,385,0.4906,63920.35,83725.67,72236.37,1165.1,62,0,4,2,1.6376,1.6312,0.551,1,41.48,151426,0.4546,0.2155,0.1493,105.47,8,88,1,0,2007-02-24,0
AMEX0100052,31,F,Some College,Married,$60K-$80K,Green,273,16968.71,537,0.0982,588.9,16379.81,1438.21,11.06,130,4,0,2,1.3972,0.5501,0.9079,2,75.47,31852,0.4921,0.2672,0.1904,165.95,9,222,1,0,2025-10-03,0
AMEX0100053,23,M,Post-Graduate,Single,$80K-$120K,Gold,201,44681.64,671,0.2416,8154.65,36526.99,9016.14,120.22,75,0,2,4,0.651,0.8598,0.8401,1,18.57,433934,0.127,0.0124,0.2218,106.34,5,247,0,0,2002-04-08,0
AMEX0100054,21,M,Graduate,Married,$60K-$80K,Blue,252,4094.83,526,0.114,133.61,3961.22,601.46,4.42,136,2,0,4,1.5061,1.3407,0.8626,0,66.16,139544,0.2107,0.0109,0.2899,127.45,8,109,1,1,2008-07-30,0
AMEX0100055,40,M,Post-Graduate,Married,$80K-$120K,Centurion,178,180913.08,697,0.2304,5706.27,175206.81,40380.55,252.38,160,0,2,2,0.9499,1.6148,0.6446,0,63.16,185378,0.1339,0.3157,0.172,658.83,5,356,1,0,2015-01-04,0
AMEX0100056,29,M,Post-Graduate,Married,$60K-$80K,Platinum,40,48770.99,473,0.2254,6438.28,42332.71,10391.07,207.82,50,3,2,3,0.6975,0.8513,0.8034,0,75.97,291077,0.0228,0.056,0.083,971.53,5,240,1,1,2010-08-16,0
AMEX0100057,40,M,High School,Single,$40K-$60K,Green,182,6620.39,640,0.0922,196.71,6423.68,358.36,4.12,87,2,0,2,1.2611,1.8113,0.8331,0,23.43,257324,0.3592,0.3816,0.2164,862.88,0,157,0,0,2005-04-18,0
AMEX0100058,38,M,Graduate,Married,$40K-$60K,Blue,151,5642.11,383,0.704,1708.54,3933.57,4681.73,167.2,28,1,2,1,1.4541,1.8699,0.5747,3,86.84,159741,0.2662,0.1795,0.0253,399.37,10,61,1,0,2009-01-11,0
AMEX0100059,77,M,Post-Graduate,Married,$60K-$80K,Platinum,299,47973.51,329,0.2347,9382.54,38590.97,6742.95,108.76,62,4,0,2,0.5411,1.0895,0.9195,0,65.0,17297,0.3185,0.1362,0.0215,409.63,5,293,1,1,2021-09-23,0
AMEX0100060,76,M,High School,Single,$120K+,Gold,209,49154.45,374,0.3407,7223.29,41931.16,8764.54,175.29,50,3,1,2,1.8501,0.6742,0.6129,2,85.55,110659,0.4901,0.1912,0.1597,168.34,5,342,1,0,2005-03-13,1
AMEX0100061,71,F,Some College,Single,$120K+,Blue,255,5104.58,579,0.3503,1229.63,3874.95,2008.8,24.8,81,1,2,2,1.0927,0.5592,0.866,3,73.84,46099,0.2334,0.0138,0.2909,949.11,7,107,1,1,2023-10-26,0
AMEX0100062,78,F,Some College,Married,$40K-$60K,Blue,233,6192.44,764,0.3112,1371.36,4821.08,2517.91,839.3,3,1,6,1,0.5048,1.4603,0.8625,0,31.21,249877,0.3439,0.2891,0.2078,134.44,5,203,1,0,2004-11-01,1
AMEX0100063,77,M,Uneducated,Married,$80K-$120K,Blue,227,2607.36,364,0.1844,408.52,2198.84,557.02,2.98,187,3,3,3,0.6329,1.2314,0.9409,0,78.04,59766,0.421,0.0969,0.1435,145.2,8,183,0,0,2024-02-05,1
AMEX0100064,28,F,Graduate,Divorced,$40K-$60K,Centurion,220,83904.35,532,0.1845,10462.14,73442.21,14696.27,474.07,31,1,2,1,1.5239,0.8629,0.611,0,80.21,405453,0.441,0.3295,0.2165,271.55,6,240,1,0,2013-03-07,0
AMEX0100065,58,F,Post-Graduate,Single,$40K-$60K,Blue,214,4872.03,436,0.2993,651.89,4220.14,1279.3,7.27,176,5,2,1,0.5634,1.3469,0.5909,0,81.22,355779,0.3513,0.1192,0.0316,781.82,8,297,0,1,2026-03-13,1
AMEX0100066,61,M,Post-Graduate,Single,$80K-$120K,Gold,151,33202.6,399,0.1162,3102.43,30100.17,4544.17,45.9,99,2,0,1,1.4775,1.6079,0.825,0,89.18,266357,0.391,0.2175,0.03,688.04,5,101,0,0,2025-03-13,0
AMEX0100067,30,M,Graduate,Married,$60K-$80K,Green,168,11961.43,677,0.1434,1232.14,10729.29,1083.22,10.52,103,4,2,1,1.0739,1.0516,0.971,1,33.8,186740,0.3232,0.3897,0.2541,23.59,9,224,1,0,2020-03-17,1
AMEX0100068,79,F,Post-Graduate,Divorced,$60K-$80K,Platinum,137,29478.74,517,0.3377,5465.63,24013.11,8617.83,410.37,21,0,0,1,1.4336,1.672,0.7274,0,71.9,426199,0.3625,0.2155,0.0182,690.0,8,4,1,0,2015-10-22,1
AMEX0100069,53,M,Graduate,Married,Less than $40K,Blue,231,8552.24,509,0.1064,719.93,7832.31,645.33,92.19,7,0,3,5,1.6897,1.7807,0.875,1,64.95,492402,0.3661,0.142,0.2095,395.21,10,246,1,1,2002-04-05,0
AMEX0100070,56,F,Post-Graduate,Single,$60K-$80K,Gold,99,31208.59,436,0.3247,7537.27,23671.32,8326.33,49.27,169,3,2,1,1.1431,0.5438,0.9052,0,77.23,492148,0.0163,0.0231,0.1333,275.55,8,172,0,1,2005-09-13,0
AMEX0100071,24,F,Post-Graduate,Unknown,Less than $40K,Centurion,119,162765.83,492,0.5114,47054.51,115711.32,88509.49,641.37,138,1,1,4,0.7157,1.1452,0.8302,2,92.04,173423,0.1658,0.342,0.0621,71.16,1,270,1,1,2018-01-05,1
AMEX0100072,47,F,Post-Graduate,Married,$40K-$60K,Blue,45,6367.45,732,0.3564,459.08,5908.37,2342.03,38.39,61,1,0,2,1.5847,0.8008,0.5398,0,39.6,216232,0.4242,0.1691,0.0909,325.3,8,205,0,0,2014-08-14,0
AMEX0100073,56,M,Post-Graduate,Married,Less than $40K,Blue,44,5608.52,501,0.1311,443.19,5165.33,809.95,50.62,16,0,2,3,0.6538,1.2708,0.4132,1,44.57,426150,0.4252,0.1378,0.0093,51.9,3,69,0,1,2007-11-28,0
AMEX0100074,69,F,Graduate,Married,$40K-$60K,Gold,81,31500.22,427,0.2308,5631.7,25868.52,7699.05,58.77,131,1,2,2,1.3111,1.1444,0.8595,1,53.27,121950,0.1549,0.116,0.2614,672.7,9,6,0,1,2019-03-01,0
AMEX0100075,75,M,Some College,Single,Less than $40K,Gold,88,27150.58,582,0.2277,3612.89,23537.69,7936.44,66.69,119,0,1,3,0.9987,0.5849,0.7716,1,44.25,89116,0.1626,0.3765,0.2744,11.48,6,201,0,1,2022-11-25,0
AMEX0100076,61,M,Graduate,Married,$40K-$60K,Gold,87,20199.99,644,0.1432,622.36,19577.63,1668.99,9.17,182,0,5,2,0.6381,1.3986,0.957,4,53.39,176872,0.2629,0.0998,0.0006,174.08,2,265,1,0,2005-01-24,0
AMEX0100077,41,M,Post-Graduate,Married,$40K-$60K,Gold,253,34359.73,436,0.4302,3707.69,30652.04,10563.9,340.77,31,2,1,3,0.9906,1.8351,0.7294,0,35.8,194028,0.0457,0.0797,0.2632,738.72,0,62,1,0,2012-05-31,1
AMEX0100078,54,M,Post-Graduate,Married,$60K-$80K,Green,208,19272.36,637,0.523,6998.21,12274.15,14994.78,126.01,119,0,3,2,0.8093,1.6996,0.8128,1,34.84,222542,0.032,0.3299,0.0877,443.92,0,259,1,1,2003-10-09,0
AMEX0100079,44,F,Post-Graduate,Single,$40K-$60K,Blue,212,3339.1,320,0.1941,482.64,2856.46,524.85,4.1,128,0,1,2,1.0353,1.0307,0.863,4,72.4,424032,0.1593,0.3614,0.0233,828.87,6,117,1,1,2009-01-02,0
AMEX0100080,36,M,Graduate,Married,$80K-$120K,Blue,219,6170.32,344,0.0257,26.46,6143.86,105.57,0.84,125,4,0,2,0.658,0.8335,0.9574,0,52.86,478141,0.4357,0.2716,0.1236,753.59,4,353,1,1,2015-04-22,1
AMEX0100081,68,M,Graduate,Single,$40K-$60K,Blue,244,7690.55,370,0.484,3205.41,4485.14,1928.57,10.04,192,3,0,2,1.341,1.4426,0.7847,2,97.61,717,0.2553,0.3282,0.1214,484.34,0,29,1,0,2017-06-05,1
AMEX0100082,22,F,Graduate,Single,$80K-$120K,Blue,229,6591.89,348,0.1561,923.78,5668.11,558.58,4.58,122,1,0,3,1.4126,1.56,0.7623,4,53.85,131742,0.4022,0.3091,0.1645,66.46,8,249,1,1,2010-11-23,0
AMEX0100083,52,F,Some College,Married,$40K-$60K,Blue,214,5102.22,741,0.2607,1079.15,4023.07,873.21,14.31,61,1,2,2,0.8034,0.9707,0.8737,0,32.92,230233,0.2254,0.3834,0.1293,549.34,7,194,1,1,2019-11-25,0
AMEX0100084,65,M,Some College,Married,$80K-$120K,Green,161,16651.86,506,0.2526,2772.59,13879.27,3921.69,24.51,160,0,0,1,1.8188,0.8651,0.7711,3,45.64,422117,0.0472,0.2992,0.2438,706.84,10,26,1,0,2018-10-16,0
AMEX0100085,52,M,Uneducated,Single,Less than $40K,Platinum,66,34756.05,758,0.1953,4232.05,30524.0,3500.79,102.96,34,0,4,3,0.9634,0.699,0.9687,0,21.96,450200,0.1144,0.2387,0.2785,929.14,6,196,1,1,2017-08-09,0
AMEX0100086,70,M,Post-Graduate,Married,Less than $40K,Platinum,251,75608.97,770,0.5032,33457.96,42151.01,29496.95,162.97,181,0,2,3,0.769,1.5577,0.6083,0,43.41,328821,0.3429,0.3641,0.1917,953.54,9,321,1,0,2013-09-14,0
AMEX0100087,46,M,Graduate,Single,Less than $40K,Gold,80,15671.2,639,0.3585,4440.55,11230.65,3913.89,21.39,183,2,0,4,1.9959,0.545,0.7618,2,72.01,340912,0.3347,0.3568,0.0918,551.88,8,70,0,0,2018-09-27,0
AMEX0100088,58,F,Some College,Single,$120K+,Blue,221,9758.21,595,0.2711,729.52,9028.69,1665.78,30.29,55,0,1,3,0.5938,0.8158,0.7568,0,86.9,403551,0.078,0.1914,0.2342,303.62,5,111,0,1,2022-06-02,0
AMEX0100089,51,F,Graduate,Single,$40K-$60K,Blue,111,9938.3,698,0.1444,161.68,9776.62,1393.28,17.2,81,2,2,3,1.4871,0.6755,0.714,0,24.86,426253,0.3224,0.0919,0.1658,372.17,8,190,1,0,2002-11-22,0
AMEX0100090,48,F,Post-Graduate,Single,$120K+,Blue,136,6784.45,484,0.304,1152.05,5632.4,1392.42,20.48,68,2,0,2,1.8111,0.8745,0.7242,0,85.24,366577,0.4743,0.3779,0.183,924.52,8,268,1,1,2007-07-08,0
AMEX0100091,36,M,Graduate,Married,$120K+,Platinum,7,78109.14,637,0.2135,13816.06,64293.08,16697.57,156.05,107,0,0,3,1.1573,1.7588,0.4674,0,50.28,146621,0.3478,0.2443,0.06,55.53,7,350,1,0,2014-04-08,0
AMEX0100092,41,F,High School,Single,$80K-$120K,Green,61,16628.66,526,0.2116,468.68,16159.98,2693.49,26.41,102,2,2,2,1.7722,1.9207,0.7648,4,57.95,202834,0.1559,0.136,0.0237,442.8,5,209,1,1,2003-11-17,0
AMEX0100093,44,F,Some College,Single,$40K-$60K,Green,213,9094.25,674,0.4119,1785.94,7308.31,4686.81,65.09,72,3,2,4,1.7261,1.6356,0.5039,3,83.23,114816,0.22,0.2919,0.2821,603.8,9,115,0,1,2020-07-20,0
AMEX0100094,58,M,Some College,Married,$40K-$60K,Green,258,6748.75,369,0.2431,1386.73,5362.02,1898.25,18.43,103,4,1,2,0.5162,1.7398,0.6167,0,24.25,112669,0.4317,0.0892,0.2619,789.49,8,219,1,0,2017-12-26,0
AMEX0100095,41,M,High School,Single,$60K-$80K,Green,189,8397.82,410,0.3137,1833.92,6563.9,2574.73,122.61,21,1,1,4,0.9923,0.8136,0.8937,0,7.78,75504,0.1379,0.0817,0.005,679.2,1,216,1,1,2026-02-19,0
AMEX0100096,26,F,Graduate,Married,$120K+,Gold,203,20899.35,698,0.3156,2531.04,18368.31,7792.01,78.71,99,5,0,2,1.1573,1.8489,0.5528,0,69.98,440015,0.4137,0.0168,0.1258,168.2,9,286,0,0,2016-10-10,0
AMEX0100097,51,M,Post-Graduate,Single,$60K-$80K,Green,206,9748.8,757,0.2192,1338.67,8410.13,2223.05,23.9,93,3,1,2,1.8726,0.8768,0.171,1,14.05,442244,0.4286,0.3282,0.1322,132.4,6,246,0,1,2024-06-08,1
AMEX0100098,32,M,Graduate,Married,Less than $40K,Green,92,18306.79,368,0.6358,2755.63,15551.16,10967.3,98.8,111,3,2,3,1.0108,1.7074,0.8746,0,47.88,461693,0.4342,0.3706,0.1259,50.62,0,240,0,1,2004-07-23,0
AMEX0100099,36,M,Some College,Single,$60K-$80K,Platinum,267,67466.13,773,0.4228,11403.53,56062.6,19808.9,114.5,173,0,1,1,0.8327,0.9763,0.9443,0,66.48,69518,0.1973,0.212,0.0484,572.0,9,26,1,1,2003-06-05,0
